perl-xml-simple 2.22-1
perl-xml-twig 3.49-1
perl-yaml-tiny 1.69-1
pigz 2.3.4-1
pinentry 0.9.7-3
pixman 0.34.0-1
pixz 1.0.6-1
pkcs11-helper 1.11-3
pkg-config 0.29.1-2
pkgfile 15-1
planner 0.14.6-4
polkit 0.113-4
poppler 0.47.0-1
poppler-glib 0.47.0-1
poppler-qt5 0.47.0-1
popt 1.16-8
portaudio 19_20140130-3
presentproto 1.0-1
procps-ng 3.3.12-1
progsreiserfs 0.3.0.5-8
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
puppet-lint 1.1.0-1
pygobject-devel 3.22.0-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt5-common 5.7-2
python 3.5.2-1
python-appdirs 1.4.0-4
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.22.0-1
python-packaging 16.7-1
python-poppler-qt5 0.24.2-1
python-pyparsing 2.1.10-1
python-pyqt5 5.7-2
python-setuptools 1:28.6.1-1
python-sip 4.18.1-1
python-six 1.10.0-2
python2 2.7.12-1
python2-appdirs 1.4.0-5
python2-cairo 1.10.0-2
python2-cffi 1.9.1-2
python2-chardet 2.3.0-3
python2-click 6.7-1
python2-constantly 15.1.0-2
python2-cryptography 1.7.2-1
python2-dbus 1.2.4-1
python2-enum34 1.1.6-1
python2-gobject 3.22.0-1
python2-gobject2 2.28.6-12
python2-idna 2.2-2
python2-incremental 16.10.1-2
python2-ipaddress 1.0.18-1
python2-packaging 16.8-2
python2-ply 3.10-1
python2-pyasn1 0.2.2-1
python2-pycparser 2.17-2
python2-pyopenssl 16.2.0-2
python2-pyparsing 2.1.10-2
python2-setuptools 1:34.2.0-1
python2-six 1.10.0-3
python2-twisted 16.6.0-2
python2-urwid 1.3.1-2
python2-xdg 0.25-4
python2-zope-interface 4.3.3-3
qpdf 6.0.0-2
qt4 4.8.7-10
qt5-base 5.7.0-3
qt5-declarative 5.7.0-3
qt5-location 5.7.0-1
qt5-script 5.7.0-1
qt5-sensors 5.7.0-1
qt5-svg 5.7.0-1
qt5-webchannel 5.7.0-1
qt5-webkit 5.7.0-1
qt5-xmlpatterns 5.7.0-2
randrproto 1.5.0-1
raptor 2.0.15-4
rasqal 1:0.9.33-1
rdesktop 1.8.3-2
re2 20160901-1
readline 6.3.008-4
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.25-1
remmina 1:1.2.0rcgit.15-1
remmina-plugin-rdesktop 1.2.3.0-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.8.0-1
rfkill 0.5-1
rpcbind 0.2.3-3
rpmextract 1.0-7
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
rtorrent 0.9.6-3
rubberband 1.8.1-3
ruby 2.3.1-1
run-parts 4.7-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.14-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sed 4.2.2-4
semver 5.3.0-1
shadow 4.2.1-3
shared-mime-info 1.7-1
shutter 0.93.1-2
sip 4.18.1-1
skype 4.3.0.37-7
slang 2.3.0-1
smartgit 7.1.3-1
smbclient 4.5.0-2
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
source-highlight 3.1.8-9
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.15.0-1
sshfs 2.8-1
stalonetray 0.8.3-1
stardict 3.0.6-2
startup-notification 0.12-4
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
systemd 231-4
systemd-sysvcompat 231-4
t1lib 5.1.2-5
taglib 1.11.1-1
talloc 2.1.8-1
tar 1.29-1
tcl 8.6.6-1
tdb 1.3.11-1
tevent 1:0.9.29-2
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
thunar 1.6.10-3
tigervnc 1.7.0-1
tk 8.6.6-1
tkdiff 4.2-1
totem-plparser 3.10.7+1+gb25e497-1
transmission-gtk 2.92-5
tslib 1.1-1
ttf-amiri 0.108-2
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.35-1
ttf-freefont 20120503-4
ttf-inconsolata 20151221.480630d-1
ttf-liberation 2.00.1-6
ttf-linux-libertine 5.3.0-3
ttf-ms-fonts 2.0-10
ttf-tahoma 1:1.7.27-1
ttf-ubuntu-font-family 0.83-1
tzdata 2016h-1
udisks2 2.1.7-1
